id,domain_id,org_id,created_at,updated_at,deleted_at,task_guid,alias_ref,purpose,description,task_state,rule_id,rule_root_id,inputs,outputs
646ecf68-7ed2-4010-8d4a-d001391a4f0d,"","",2018-09-21 21:26:59.883982+00,2018-09-21 21:27:08.740501+00,,8fe8ece7-c997-d3f4-fc01-000000000000,t2,Generate Odoo Accounting Users Data,Fetch the list of Accounting users from the Odoo,3,0ccbf5a4-4580-4c3e-ab4f-148815c64ca9,0ccbf5a4-4580-4c3e-ab4f-148815c64ca9,"{""BucketName"":""demo"",""InputFileType"":""AccountUsers"",""OdooDBName"":""Testodoo""}","{""error"":""open AccountUsers-1537565227.csv: no such file or directory""}"
105e3d7c-5774-42cc-a2ae-9479d2fbaa62,"","",2018-09-18 00:08:56.091309+00,2018-09-18 00:09:05.30732+00,,8fe8ece7-c997-d3f4-fc01-000000000000,t2,Generate Odoo Accounting Users Data,Fetch the list of Accounting users from the Odoo,3,cc22e544-2e2d-43b3-b7f4-80b4589a104d,cc22e544-2e2d-43b3-b7f4-80b4589a104d,"{""BucketName"":""demo"",""InputFileType"":""AccountUsers"",""OdooDBName"":""Testodoo""}","{""BucketName"":""demo"",""FileName"":""AccountUsers-1537229344.csv"",""Hash"":""a7e17210f7d86f699c0334e68918dfa69130deef/0c37db6b4d732b7041291401a865902f280e6161/9605b0e569e316dab8c671157d0497acf462fd77/62fd94be3f20e9f4a7f8803dcf94bd3964c10edf/""}"
0a0854ef-0938-4050-b12a-05b3b62b83f9,"","",2018-09-18 00:08:56.063609+00,2018-09-18 00:09:07.483707+00,,98c0f4a2-88d3-b4bb-2200-000000000000,t3,Compare the Employee and Accounting User files,Generate a comparison file to check if users have access to both accounting and are part of Employee file,3,934405e6-d945-4ac4-8aea-c1563e757e76,934405e6-d945-4ac4-8aea-c1563e757e76,"{""AccountingUsersFile"":null,""AccountingUsersHash"":null,""BucketName"":null,""EmployeeFile"":null,""EmployeeFileHash"":null,""OutFileType"":""Compare""}","{""error"":""Bucket name cannot be empty""}"
2c21a9f9-5776-4959-996f-2de9bd67c874,"","",2018-09-18 00:08:56.057235+00,2018-09-18 00:09:01.466077+00,,8fe8ece7-c997-d3f4-fc01-000000000000,t1,Generate Odoo Employee Data,Fetch the list of active Employees from the Odoo,3,934405e6-d945-4ac4-8aea-c1563e757e76,934405e6-d945-4ac4-8aea-c1563e757e76,"{""BucketName"":""demo"",""InputFileType"":""Employees"",""OdooDBName"":""Testodoo""}","{""error"":""open Employees-1537229340.csv: no such file or directory""}"
13f73ef2-6c5b-45b9-b014-ceb6df68c41d,"","",2018-09-18 00:08:56.074853+00,2018-09-18 00:09:05.60406+00,,8fe8ece7-c997-d3f4-fc01-000000000000,t2,Generate Odoo Accounting Users Data,Fetch the list of Accounting users from the Odoo,3,ee49570a-f223-41ff-abd1-aa9576671fcb,ee49570a-f223-41ff-abd1-aa9576671fcb,"{""BucketName"":""demo"",""InputFileType"":""AccountUsers"",""OdooDBName"":""Testodoo""}","{""error"":""open AccountUsers-1537229344.csv: no such file or directory""}"
2a1a516e-3eed-4275-bf6f-29d43e6af3c1,"","",2018-09-18 00:08:56.077772+00,2018-09-18 00:09:07.357245+00,,98c0f4a2-88d3-b4bb-2200-000000000000,t3,Compare the Employee and Accounting User files,Generate a comparison file to check if users have access to both accounting and are part of Employee file,3,ee49570a-f223-41ff-abd1-aa9576671fcb,ee49570a-f223-41ff-abd1-aa9576671fcb,"{""AccountingUsersFile"":null,""AccountingUsersHash"":null,""BucketName"":null,""EmployeeFile"":null,""EmployeeFileHash"":null,""OutFileType"":""Compare""}","{""error"":""Bucket name cannot be empty""}"
64189f9f-2343-4930-84e2-e9fcb0590fbc,"","",2018-09-18 00:08:56.060888+00,2018-09-18 00:09:05.732957+00,,8fe8ece7-c997-d3f4-fc01-000000000000,t2,Generate Odoo Accounting Users Data,Fetch the list of Accounting users from the Odoo,3,934405e6-d945-4ac4-8aea-c1563e757e76,934405e6-d945-4ac4-8aea-c1563e757e76,"{""BucketName"":""demo"",""InputFileType"":""AccountUsers"",""OdooDBName"":""Testodoo""}","{""error"":""open AccountUsers-1537229344.csv: no such file or directory""}"
e6aee888-5f69-49d9-b7a3-0f5ceea7bc97,"","",2018-09-18 00:08:56.066314+00,2018-09-18 00:09:09.249805+00,,dd97d1c9-a9d1-fb98-6500-000000000000,t4,Summarize the result of the control,"If any user has access to Accouting but is not an Employee, the control would fail, else it would pass",3,934405e6-d945-4ac4-8aea-c1563e757e76,934405e6-d945-4ac4-8aea-c1563e757e76,"{""BucketName"":null,""ComparisonFile"":null,""ComparisonFileHash"":null,""OutFileType"":""Summary""}","{""error"":""Bucket name cannot be empty""}"
6c04743b-e06d-47ca-ba2e-d4cfa659e11c,"","",2018-09-18 00:08:56.087543+00,2018-09-18 00:09:01.324927+00,,8fe8ece7-c997-d3f4-fc01-000000000000,t1,Generate Odoo Employee Data,Fetch the list of active Employees from the Odoo,3,cc22e544-2e2d-43b3-b7f4-80b4589a104d,cc22e544-2e2d-43b3-b7f4-80b4589a104d,"{""BucketName"":""demo"",""InputFileType"":""Employees"",""OdooDBName"":""Testodoo""}","{""BucketName"":""demo"",""FileName"":""Employees-1537229340.csv"",""Hash"":""a7e17210f7d86f699c0334e68918dfa69130deef/0c37db6b4d732b7041291401a865902f280e6161/29036d5b574a81af44d30e44389f0f85a63e2b6a/46eda4480d8f7ae2e0465ee763921c0b6bed66dd/""}"
2849cb21-1aa7-4b80-86f5-969c24b18569,"","",2018-09-18 00:08:56.094503+00,2018-09-18 00:09:07.087509+00,,98c0f4a2-88d3-b4bb-2200-000000000000,t3,Compare the Employee and Accounting User files,Generate a comparison file to check if users have access to both accounting and are part of Employee file,3,cc22e544-2e2d-43b3-b7f4-80b4589a104d,cc22e544-2e2d-43b3-b7f4-80b4589a104d,"{""AccountingUsersFile"":""AccountUsers-1537229344.csv"",""AccountingUsersHash"":""a7e17210f7d86f699c0334e68918dfa69130deef/0c37db6b4d732b7041291401a865902f280e6161/9605b0e569e316dab8c671157d0497acf462fd77/62fd94be3f20e9f4a7f8803dcf94bd3964c10edf/"",""BucketName"":""demo"",""EmployeeFile"":""Employees-1537229340.csv"",""EmployeeFileHash"":""a7e17210f7d86f699c0334e68918dfa69130deef/0c37db6b4d732b7041291401a865902f280e6161/29036d5b574a81af44d30e44389f0f85a63e2b6a/46eda4480d8f7ae2e0465ee763921c0b6bed66dd/"",""OutFileType"":""Compare""}","{""BucketName"":""demo"",""ComparisonFile"":""Compare-1537229347.csv"",""Hash"":""a7e17210f7d86f699c0334e68918dfa69130deef/0c37db6b4d732b7041291401a865902f280e6161/29584a105e7d83dc2e0784697bf2a84e34275ff9/fbe5c8053e10f5f8f9d5253e43bf69ad0a9bb7c1/""}"
